source_number,name,alt_name,ra,dec,ra_dec,cluster_radius,distance,log_age
266,Ruprecht 91,,10 47.6,-57 28,10 47.6 -57 28,0.15,900,8.63
267,Loden 189,,10 50.3,-56 25,10 50.3 -56 25,0.28,720,8.64
268,Ruprecht 92,,10 53.2,-61 43,10 53.2 -61 43,0.18,2362,7.53
269,ESO 128-16,,10 53.7,-58 14,10 53.7 -58 14,0.16,900,8.92
270,Trumpler 17,,10 56.4,-59 12,10 56.4 -59 12,0.11,2189,7.51
271,Collinder 236,,10 57.3,-61 07,10 57.3 -61 07,0.2,800,8.37
272,Bochum 12,,10 57.4,-61 43,10 57.4 -61 43,0.12,2218,7.68
273,NGC 3496,,10 59.6,-60 23,10 59.6 -60 23,0.15,990,8.62
274,Pismis 17,,11 01.1,-59 52,11 01.1 -59 52,0.17,3504,7.32
275,Ruprecht 93,,11 04.4,-61 22,11 04.4 -61 22,0.13,1437,8.64
276,NGC 3532,,11 06.0,-58 44,11 06.0 -58 44,0.6,497,8.45
277,Loden 306,,11 06.0,-61 08,11 06.0 -61 08,0.2,2000,6.76
278,Feinstein 1,,11 07.0,-59 49,11 07.0 -59 49,0.4,1159,6.97
279,vdBergh-Hagen 111,,11 09.2,-63 50,11 09.2 -63 50,0.11,2700,8.35
280,Loden 309,,11 09.7,-60 35,11 09.7 -60 35,0.09,600,8.63
281,NGC 3572,,11 10.4,-60 15,11 10.4 -60 15,0.11,2004,6.88
282,Basel 17,,11 10.5,-59 02,11 10.5 -59 02,0.13,1637,7.88
283,Trumpler 18,,11 11.5,-60 40,11 11.5 -60 40,0.16,1358,7.77
284,NGC 3590,,11 13.0,-60 47,11 13.0 -60 47,0.17,1651,7.55
285,Stock 13,,11 13.1,-58 53,11 13.1 -58 53,0.23,1577,7.37
286,IC 2714,,11 17.5,-62 44,11 17.5 -62 44,0.17,1238,8.41
287,NGC 3680,,11 25.6,-43 14,11 25.6 -43 14,0.21,934,9.09
288,Ruprecht 94,,11 30.7,-63 27,11 30.7 -63 27,0.25,3400,7.19
289,Ruprecht 164,,11 30.8,-60 44,11 30.8 -60 44,0.12,780,9
290,Loden 372,,11 30.9,-58 29,11 30.9 -58 29,0.1,1200,8.55
291,Loden 402,,11 32.7,-60 43,11 32.7 -60 43,0.15,2450,8.2
292,IC 2944,,11 36.1,-62 57,11 36.1 -62 57,0.24,1794,6.9
293,NGC 3766,,11 36.2,-61 37,11 36.2 -61 37,0.23,1745,7.52
294,vdBergh-Hagen 121,,11 38.1,-63 20,11 38.1 -63 20,0.25,2735,6.64
295,IC 2948,,11 39.4,-63 29,11 39.4 -63 29,0.08,2600,6.75
296,Stock 14,,11 43.8,-62 31,11 43.8 -62 31,0.12,2146,7
297,Ruprecht 96,,11 50.6,-62 08,11 50.6 -62 08,0.12,860,9
298,Loden 481,,11 52.0,-61 17,11 52.0 -61 17,0.28,1520,8.19
299,Loden 480,,11 56.0,-58 24,11 56.0 -58 24,0.15,1200,8.71
300,Ruprecht 98,,11 58.7,-64 35,11 58.7 -64 35,0.35,610,8.78
301,NGC 4052,,12 01.2,-63 13,12 01.2 -63 13,0.15,1209,8.4
302,Ruprecht 99,,12 03.3,-63 53,12 03.3 -63 53,0.13,660,9.29
303,NGC 4103,,12 06.7,-61 15,12 06.7 -61 15,0.23,1664,7.59
304,ESO 130-06,,12 07.7,-59 18,12 07.7 -59 18,0.19,2200,8.33
305,Loden 565,,12 08.1,-60 43,12 08.1 -60 43,0.2,650,8.05
306,ESO 130-08,,12 10.3,-59 31,12 10.3 -59 31,0.2,800,9.02
307,Loden 615,,12 20.6,-64 47,12 20.6 -64 47,0.16,1000,8.63
308,Melotte 111,Coma Ber,12 22.5,+25 51,12 22.5 +25 51,4,87,8.78
309,NGC 4349,,12 24.2,-61 52,12 24.2 -61 52,0.22,2176,8.32
310,Collinder 258,vdBergh-Hagen 133,12 27.2,-60 46,12 27.2 -60 46,0.18,1198,8.05
311,NGC 4439,,12 28.4,-60 06,12 28.4 -60 06,0.09,1785,7.71
312,Hogg 23,,12 28.6,-60 55,12 28.6 -60 55,0.1,1250,8.31
313,NGC 4463,,12 29.9,-64 47,12 29.9 -64 47,0.13,1050,7.97
314,Ruprecht 105,,12 34.3,-61 34,12 34.3 -61 34,0.14,950,9.01
315,NGC 4609,,12 42.3,-62 59,12 42.3 -62 59,0.14,1223,7.78
316,Loden 682,,12 47.3,-60 39,12 47.3 -60 39,0.17,900,8.41
317,Loden 694,,12 53.0,-60 45,12 53.0 -60 45,0.3,1700,7.38
318,NGC 4755,kappa Cru,12 53.6,-60 22,12 53.6 -60 22,0.23,1976,6.98
319,NGC 4852,,13 00.1,-59 35,13 00.1 -59 35,0.2,1330,8.63
320,NGC 5045,,13 14.2,-63 23,13 14.2 -63 23,0.38,1500,7.11
321,NGC 5043,,13 16.1,-60 04,13 16.1 -60 04,0.17,970,8.79
322,Stock 16,,13 18.8,-62 31,13 18.8 -62 31,0.22,1640,6.78
323,Collinder 269,,13 23.5,-66 11,13 23.5 -66 11,0.17,1300,8.52
324,Loden 821,,13 24.0,-59 47,13 24.0 -59 47,0.2,2800,7.29
325,Loden 807,,13 24.7,-62 30,13 24.7 -62 30,0.18,925,8.3
326,NGC 5138,,13 27.2,-59 02,13 27.2 -59 02,0.2,1986,7.55
327,Basel 18,,13 28.1,-62 21,13 28.1 -62 21,0.15,2226,7.92
328,Hogg 16,,13 29.3,-61 12,13 29.3 -61 12,0.09,1585,7.26
329,Collinder 272,,13 30.4,-61 19,13 30.4 -61 19,0.15,2045,7.02
330,NGC 5168,,13 31.1,-60 56,13 31.1 -60 56,0.12,1777,7.74
331,Ruprecht 108,,13 32.2,-58 28,13 32.2 -58 28,0.2,901,8.41
