source_number|name|alt_name|ra|dec|cluster_radius|distance|log_age
444|NGC 6618|M 17|18 20.6|-16 11|0.3|1814|6.78
149|Ruprecht 26||07 37.2|-15 39|0.2|1440|7.49
132|NGC 2360||07 17.7|-15 38|0.25|1887|8.59
145|NGC 2414||07 33.2|-15 27|0.12|2888|6.94
160|NGC 2437|M 46|07 41.7|-14 49|0.38|1375|8.16
147|NGC 2422||07 36.6|-14 29|0.51|491|8.12
103|Ruprecht 1||06 36.4|-14 11|0.25|1100|8.76
131|Basel 11A||07 17.1|-13 58|0.15|1500|7.42
148|NGC 2423||07 37.1|-13 52|0.46|766|8.98
441|NGC 6611|M 16|18 18.8|-13 49|0.22|1719|6.72
137|NGC 2374||07 23.9|-13 16|0.27|1468|8.68
123|NGC 2345||07 08.3|-13 11|0.12|2251|7.74
447|NGC 6639||18 31.0|-13 09|0.18|700|8.86
144|NGC 2413||07 33.1|-13 02|0.2|440|8.46
184|NGC 2539||08 10.7|-12 50|0.5|1363|8.75
448|Ruprecht 141||18 31.3|-12 19|0.11|5500|6.92
439|NGC 6604||18 18.1|-12 14|0.26|1696|6.64
150|Melotte 71||07 37.5|-12 04|0.15|3154|8.37
141|NGC 2396||07 28.0|-11 43|0.22|588|8.52
119|vdBergh 92||07 03.9|-11 29|0.2|1500|7.59
178|NGC 2506||08 00.0|-10 46|0.2|3460|9.05
122|NGC 2343||07 08.1|-10 37|0.12|1056|8.23
474|Alessi 10||20 04.7|-10 29|0.17|513|8.71
128|NGC 2353||07 14.5|-10 16|0.25|1119|7.05
120|NGC 2335||07 06.8|-10 02|0.25|1417|8.08
493|Roslund 7||20 52.4|+37 54|0.43|700|8.67
451|NGC 6694|M 26|18 45.3|-09 23|0.12|1582|8.3
125|Alessi 21||07 10.8|-09 20|0.5|500|7.47
458|NGC 6728||18 58.7|-08 58|0.13|1000|8.93
118|NGC 2323|M 50|07 02.7|-08 22|0.37|881|8.13
94|NGC 2215||06 20.8|-07 17|0.28|1293|8.43
114|NGC 2306||06 54.5|-07 13|0.17|1200|8.85
113|NGC 2302||06 51.9|-07 05|0.08|1182|8.49
453|NGC 6705|M 11|18 51.1|-06 16|0.19|1877|8.07
76|NGC 1980||05 35.4|-05 55|0.21|550|6.67
189|NGC 2548||08 13.7|-05 45|0.73|769|8.75
74|NGC 1976|Trapezium|05 35.3|-05 23|0.4|399|7.71
75|NGC 1977||05 35.4|-04 49|0.21|500|7.08
95|NGC 2232||06 27.9|-04 48|0.6|325|7.49
116|NGC 2311||06 57.8|-04 37|0.15|2000|8.6
73|NGC 1981||05 35.2|-04 24|0.25|400|7.5
89|NGC 2184||06 11.2|-03 26|0.2|640|8.37
80|Sigma Ori||05 38.7|-02 37|0.4|399|6.82
77|Collinder 70||05 35.5|-01 06|1.5|391|6.71
112|NGC 2301||06 51.8|+00 28|0.25|858|8.31
414|Collinder 350||17 48.1|+01 21|0.55|280|8.61
106|Collinder 110A||06 39.0|+02 01|0.22|450|8.19
423|Collinder 359|Melotte 186|18 00.7|+02 56|1.1|640|7.45
117|NGC 2319||07 00.7|+03 02|0.2|1100|8.61
109|NGC 2270||06 44.0|+03 29|0.32|1400|8.64
91|Platais 6||06 15.4|+03 55|1.57|348|7.79
108|NGC 2269||06 43.2|+04 37|0.15|1687|8.76
105|Collinder 107||06 38.5|+04 38|0.15|1450|7.03
88|NGC 2180||06 09.8|+04 49|0.18|910|9.24
98|NGC 2244||06 31.9|+04 56|0.32|1445|6.7
101|NGC 2252||06 34.5|+05 22|0.16|900|8.84
450|IC 4756||18 38.9|+05 27|1|484|8.79
90|NGC 2186||06 12.1|+05 28|0.12|1445|8.08
412|IC 4665||17 46.3|+05 43|1|352|7.63
85|NGC 2143||06 03.1|+05 46|0.21|800|9.15
97|Collinder 97||06 31.3|+05 57|0.3|500|8.32
104|Collinder 106||06 37.4|+05 57|0.52|1600|6.74
92|NGC 2202||06 16.9|+06 00|0.12|900|8.74
446|NGC 6633||18 27.2|+06 31|0.51|385|8.76
469|NGC 6828||19 50.3|+07 54|0.18|600|8.56
100|Basel 8||06 34.2|+08 01|0.25|1328|7.68
102|NGC 2251||06 34.6|+08 22|0.2|1329|8.43
72|Collinder 69|lambda Ori|05 35.2|+09 42|0.55|438|6.76
107|NGC 2264|S Mon|06 41.0|+09 53|0.73|660|6.81
96|Collinder 95||06 31.1|+09 54|0.2|556|8.36
454|NGC 6709||18 51.3|+10 19|0.22|1075|8.14
56|NGC 1662||04 48.4|+10 56|0.43|437|8.68
459|NGC 6738||19 01.3|+11 37|0.12|700|9.16
212|NGC 2682|M 67|08 51.4|+11 48|0.31|908|9.41
